"WJ0","貪1.2億解職金 CBS前CEO涉滅證「想大事化小」","World Journal","United States","2018-12-06 06:10:00","https://www.worldjournal.com/6012598/article-%e8%b2%aa1-2%e5%84%84%e8%a7%a3%e8%81%b7%e9%87%91-cbs%e5%89%8dceo%e6%b6%89%e6%bb%85%e8%ad%89%e3%80%8c%e6%83%b3%e5%a4%a7%e4%ba%8b%e5%8c%96%e5%b0%8f%e3%80%8d/?ref=美國_新聞總覽","787"
"WJ1","詐欺電話翻新 假冒社安署行騙","World Journal","United States","2018-12-11 09:05:00","https://www.worldjournal.com/6020203/article-%e8%a9%90%e6%ac%ba%e9%9b%bb%e8%a9%b1%e7%bf%bb%e6%96%b0-%e5%81%87%e5%86%92%e7%a4%be%e5%ae%89%e7%bd%b2%e8%a1%8c%e9%a8%99/?ref=美國_新聞總覽","3769"
"WJ2","養娃貴！「這州」托兒費 竟是大學學費3倍","World Journal","United States","2018-12-11 08:48:00","https://www.worldjournal.com/6021153/article-%e9%a4%8a%e5%a8%83%e8%b2%b4%ef%bc%81%e3%80%8c%e9%80%99%e5%b7%9e%e3%80%8d%e6%89%98%e5%85%92%e8%b2%bb-%e7%ab%9f%e6%98%af%e5%a4%a7%e5%ad%b8%e5%ad%b8%e8%b2%bb3%e5%80%8d/?ref=美國_新聞總覽","4422"
"WJ3","狙擊華為 美國主戰派在戳一頭「完全覺醒」的雄獅","World Journal","United States","2018-12-11 09:52:00","https://www.worldjournal.com/6021353/article-%e7%8b%99%e6%93%8a%e8%8f%af%e7%82%ba-%e7%be%8e%e5%9c%8b%e4%b8%bb%e6%88%b0%e6%b4%be%e5%9c%a8%e6%88%b3%e4%b8%80%e9%a0%ad%e3%80%8c%e5%ae%8c%e5%85%a8%e8%a6%ba%e9%86%92%e3%80%8d%e7%9a%84%e9%9b%84%e7%8d%85/?ref=美國_新聞總覽","6379"
"WJ4","如何獲知孟晚舟被捕 北京：其他渠道","World Journal","United States","2018-12-11 10:38:00","https://www.worldjournal.com/6021379/article-%e5%a6%82%e4%bd%95%e7%8d%b2%e7%9f%a5%e5%ad%9f%e6%99%9a%e8%88%9f%e8%a2%ab%e6%8d%95-%e5%8c%97%e4%ba%ac%ef%bc%9a%e5%85%b6%e4%bb%96%e6%b8%a0%e9%81%93/?ref=美國_新聞總覽","3618"
"WJ5","90天大限~ 美中歧見仍深 對撞路線未變","World Journal","United States","2018-12-02 19:38:00","https://www.worldjournal.com/6006954/article-90%e5%a4%a9%e5%a4%a7%e9%99%90-%e7%be%8e%e4%b8%ad%e6%ad%a7%e8%a6%8b%e4%bb%8d%e6%b7%b1-%e5%b0%8d%e6%92%9e%e8%b7%af%e7%b7%9a%e6%9c%aa%e8%ae%8a/?ref=美國_新聞總覽","1166"
"WJ6","絕美點燈 戴克高地「耶誕童話」一生必訪一次","World Journal","New York","2018-12-07 06:02:00","https://www.worldjournal.com/6013936/article-%e7%b5%95%e7%be%8e%e9%bb%9e%e7%87%88-%e6%88%b4%e5%85%8b%e9%ab%98%e5%9c%b0%e3%80%8c%e8%80%b6%e8%aa%95%e7%ab%a5%e8%a9%b1%e3%80%8d%e4%b8%80%e7%94%9f%e5%bf%85%e8%a8%aa%e4%b8%80%e6%ac%a1/?ref=紐約_新聞總覽","1106"
"WJ7","紐約國際身障鋼琴比賽 台灣選手奪1金1銀","World Journal","New York","2018-12-07 06:03:00","https://www.worldjournal.com/6014393/article-%e7%b4%90%e7%b4%84%e5%9c%8b%e9%9a%9b%e8%ba%ab%e9%9a%9c%e9%8b%bc%e7%90%b4%e6%af%94%e8%b3%bd-%e5%8f%b0%e7%81%a3%e9%81%b8%e6%89%8b%e5%a5%aa1%e9%87%911%e9%8a%80/?ref=紐約_新聞總覽","208"
"WJ8","擬採單一付款、全由政府承擔…紐約健保法案 市議長力挺","World Journal","New York","2018-12-07 06:04:00","https://www.worldjournal.com/6014404/article-%e6%93%ac%e6%8e%a1%e5%96%ae%e4%b8%80%e4%bb%98%e6%ac%be%e3%80%81%e5%85%a8%e7%94%b1%e6%94%bf%e5%ba%9c%e6%89%bf%e6%93%94%e7%b4%90%e7%b4%84%e5%81%a5%e4%bf%9d%e6%b3%95%e6%a1%88-%e5%b8%82%e8%ad%b0/?ref=紐約_新聞總覽","922"
"WJ9","開車門放包有危險 男子遭持槍搶劫","World Journal","New York","2018-12-04 23:00:00","https://www.worldjournal.com/6010695/article-%e9%96%8b%e8%bb%8a%e9%96%80%e6%94%be%e5%8c%85%e6%9c%89%e5%8d%b1%e9%9a%aa-%e7%94%b7%e5%ad%90%e9%81%ad%e6%8c%81%e6%a7%8d%e6%90%b6%e5%8a%ab/?ref=紐約_新聞總覽","599"
